iso3_country,geometry_ref,combined_emissions,res_emissions,nonres_emissions,res_share,priority_score,priority_rank_global,priority_score_country,priority_rank_country,latest_end_time
ZAF,ghs-fua_3337,17266334.8638,15442202.9662,1824131.8976000005,0.8943532653577563,20.607234658378943,125,1.2366119592146538,1,2025-07-31T00:00:00
CHN,gadm_CHN.1.1_1,11429456.2232,10818652.648,610803.5752000001,0.9465588245606852,20.606109795542107,126,1.0746593520369874,90,2025-07-31T00:00:00
CHN,gadm_CHN.15.11_1,17026058.990199998,15253130.6582,1772928.3319999997,0.8958697175300241,20.605054873928527,127,1.0916296719863272,57,2025-07-31T00:00:00
KAZ,gadm_KAZ.2.14_1,14030840.716199998,12908885.102999998,1121955.6131999998,0.920036465676316,20.60423415658609,128,1.1751378854883163,4,2025-07-31T00:00:00
IND,ghs-fua_10452,17569451.570599996,15655580.470399998,1913871.1001999993,0.8910682503372734,20.595875742678743,129,1.2021345426837096,2,2025-07-31T00:00:00
CHN,gadm_CHN.17.4_1,12798145.590399995,11907459.517999995,890686.0723999998,0.9304050679757768,20.59090945484225,130,1.0787792057127545,83,2025-07-31T00:00:00
KAZ,gadm_KAZ.12.10_1,9735460.764199996,9401297.781199995,334162.9830000001,0.9656756889998662,20.587277942394888,131,1.1585135123696169,5,2025-07-31T00:00:00
CHN,gadm_CHN.31.1_1,17233914.712399997,15382430.001199998,1851484.7112,0.8925673741516293,20.587056220884772,132,1.0911812571926902,60,2025-07-31T00:00:00
CHN,ghs-fua_8630,15164593.4558,13771744.876,1392848.5798000006,0.9081512746213928,20.583613928986306,133,1.0856374297104165,68,2025-07-31T00:00:00
CHN,gadm_CHN.25.11_1,13165955.121599998,12188755.256599998,977199.865,0.925778277688581,20.581051994132682,134,1.0794822039027239,80,2025-07-31T00:00:00
CHN,gadm_CHN.4.1_1,13020013.707599998,12068718.016199997,951295.6914,0.926935891715328,20.578436161973826,135,1.0788658375091305,81,2025-07-31T00:00:00
CHN,ghs-fua_8055,18018508.190800004,15967015.953800002,2051492.237,0.8861452782174573,20.577686739562093,136,1.09253084202507,54,2025-07-31T00:00:00
IRN,gadm_IRN.29.8_1,8535340.9506,8372131.3396,163209.611,0.9808783724112944,20.564538209354108,137,0.9807073428537554,18,2025-07-31T00:00:00
CHN,gadm_CHN.30.13_1,8455519.448,8297715.767000001,157803.68099999998,0.9813371985044248,20.55682241492546,138,1.058681278173686,118,2025-07-31T00:00:00
CHN,gadm_CHN.6.4_1,24809665.888000004,20977022.421000004,3832643.4670000016,0.8455181345729536,20.556573209187615,139,1.1043758352652115,35,2025-07-31T00:00:00
CHN,gadm_CHN.26.1_1,8460449.428399999,8294157.0222,166292.40619999994,0.9803447313754056,20.548075176413814,140,1.0582572022930132,120,2025-07-31T00:00:00
CHN,gadm_CHN.23.9_1,22086658.0086,18952606.740799997,3134051.267800002,0.8581020602311277,20.543891884018358,141,1.0990410264008574,45,2025-07-31T00:00:00
CHN,gadm_CHN.6.10_1,9557242.044000002,9207379.5434,349862.5006,0.9633929433837408,20.541625860300655,142,1.0634041346722118,108,2025-07-31T00:00:00
CHN,gadm_CHN.7.6_1,10381680.878000002,9880657.566600002,501023.3114000001,0.9517396732487003,20.534416116075935,143,1.066701699585769,102,2025-07-31T00:00:00
IRN,gadm_IRN.14.5_1,8772914.551400004,8543850.010000004,229064.5414,0.9738895734071128,20.532874431573937,144,0.9805318104797871,19,2025-07-31T00:00:00
PAK,ghs-fua_6458,10603500.533199996,10049829.773199996,553670.7599999999,0.9477841531420276,20.52289539701856,145,1.191777815992964,5,2025-07-31T00:00:00
CHN,gadm_CHN.26.2_1,22081078.482799996,18900361.951399997,3180716.5314,0.8559528451530295,20.521778712407336,146,1.0978478616782046,46,2025-07-31T00:00:00
CHN,gadm_CHN.31.4_1,12395091.873599991,11493252.161799992,901839.7118,0.9272421922324912,20.519650857861432,147,1.0736677269386339,93,2025-07-31T00:00:00
MNG,gadm_MNG.21.1_1,8657948.755400002,8432062.330800002,225886.4246,0.973909937448046,20.51612763926356,148,1.2843459624688274,1,2025-07-31T00:00:00
CHN,gadm_CHN.17.6_1,9978546.0206,9517817.433999998,460728.5866000001,0.9538280842069716,20.504269945407327,149,1.0633859346591532,109,2025-07-31T00:00:00
TUR,ghs-fua_3650,14712597.333199998,13287249.308399998,1425348.0248000002,0.9031205712682964,20.496127792526796,150,1.0805932350614142,2,2025-07-31T00:00:00
CHN,gadm_CHN.19.6_1,9224423.9212,8884538.544,339885.37720000005,0.9631537557138002,20.494025018725893,151,1.0593590075031198,116,2025-07-31T00:00:00
OMN,ghs-fua_996,13587233.918400005,12394833.702600002,1192400.2158,0.9122411358366888,20.487188972375545,152,1.236487834527438,1,2025-07-31T00:00:00
CHN,gadm_CHN.22.8_1,13141713.9764,12017659.157000002,1124054.8193999997,0.9144666501326548,20.467490916413453,153,1.0734471426873131,95,2025-07-31T00:00:00
CHN,gadm_CHN.16.1_1,9731285.8524,9273254.9886,458030.86379999993,0.952932133456234,20.463696334562616,154,1.0601709320220694,115,2025-07-31T00:00:00
PAK,gadm_PAK.8.1_1,7504876.773600006,7412632.542400005,92244.2312,0.9877087613850652,20.463632828846162,155,1.1587670053030987,9,2025-07-31T00:00:00
IRN,ghs-fua_5666,8035707.1104000015,7856067.294200001,179639.8162,0.9776448029113074,20.455966777400594,156,0.9725924247454617,20,2025-07-31T00:00:00
CHN,gadm_CHN.23.6_1,15181786.295400005,13585703.771800004,1596082.5236000002,0.8948685950029738,20.453242220273253,157,1.0788088140094634,82,2025-07-31T00:00:00
USA,ghs-fua_4510,37482495.4982,29534935.545999996,7947559.952199999,0.7879660933306412,20.4525554977262,158,1.0322409196166853,9,2025-07-31T00:00:00
CHN,gadm_CHN.12.5_1,10840157.840400005,10159757.856400004,680399.9840000002,0.9372333877405152,20.448353587274806,159,1.0641252882570609,105,2025-07-31T00:00:00
PAK,gadm_PAK.7.2_1,7380752.7944,7292757.4236,87995.37079999999,0.9880777241493895,20.44557614522877,160,1.1562863499275808,10,2025-07-31T00:00:00
IND,gadm_IND.36.19_1,8337135.5512000015,8092738.435400002,244397.11579999997,0.9706857212169444,20.436804029055367,161,1.192849887634335,3,2025-07-31T00:00:00
CHN,gadm_CHN.7.11_1,15192613.6694,13566892.6014,1625721.068,0.8929926671357131,20.435511489386077,162,1.0779034946520365,84,2025-07-31T00:00:00
USA,ghs-fua_4211,34000792.583000004,27105866.073800005,6894926.509200002,0.7972127710738314,20.434433921259547,163,1.0278259862775467,10,2025-07-31T00:00:00
CHN,gadm_CHN.23.2_1,12998222.596599998,11860765.305999998,1137457.2905999995,0.9124913208597052,20.434367966168445,164,1.0712412145630044,101,2025-07-31T00:00:00
CHN,gadm_CHN.6.15_1,18441477.4284,16019483.469800005,2421993.9585999995,0.8686659478339783,20.430806716351153,165,1.0856840017272082,67,2025-07-31T00:00:00
CHN,gadm_CHN.28.7_1,7785585.856600001,7623393.774800002,162192.0818,0.9791676458538432,20.4297821796489,166,1.0484007720156203,143,2025-07-31T00:00:00
CHN,gadm_CHN.13.6_1,11030748.487,10291680.9446,739067.5424000002,0.9329993297126656,20.429158885694587,167,1.063886821572693,107,2025-07-31T00:00:00
CHN,gadm_CHN.30.7_1,13408745.691,12172439.4784,1236306.2126,0.9077985188853412,20.426948910684953,168,1.0721777722854282,98,2025-07-31T00:00:00
BRA,ghs-fua_6567,12357301.4846,11344154.094,1013147.3906000004,0.9180122462932048,20.42538096933355,169,1.2508073477759227,1,2025-07-31T00:00:00
CHN,gadm_CHN.30.3_1,7856069.8546,7679206.2186,176863.6360000001,0.9774870082276012,20.42537577044862,170,1.0485845578125472,142,2025-07-31T00:00:00
CHN,gadm_CHN.16.5_1,10962060.7864,10228105.6204,733955.166,0.933045877020626,20.421742394010174,171,1.0632283554056758,110,2025-07-31T00:00:00
CHN,gadm_CHN.12.9_1,10021915.744399998,9466728.893,555186.8514,0.9446027221182512,20.42055846315184,172,1.0592357542871929,117,2025-07-31T00:00:00
CHN,gadm_CHN.28.1_1,7971678.333400001,7762604.965400001,209073.36799999996,0.9737729798850492,20.408756925289104,173,1.048394304570604,144,2025-07-31T00:00:00
CHN,gadm_CHN.7.7_1,8174693.631200001,7932629.607600001,242064.0236,0.9703886121583658,20.408733345351084,174,1.0495314255630592,139,2025-07-31T00:00:00
NGA,ghs-fua_865,13652257.758800006,12336622.575000005,1315635.1838,0.903632409595258,20.40828229299554,175,1.2421794457571549,1,2025-07-31T00:00:00
IRN,ghs-fua_4397,11637156.538,10743696.5036,893460.0343999997,0.9232235098425896,20.401148992884913,176,0.9876268483380467,17,2025-07-31T00:00:00
JPN,ghs-fua_708,11643138.1026,10740697.376,902440.7266000002,0.9224916239378388,20.39464858632875,177,1.0866365983719883,4,2025-07-31T00:00:00
CHN,gadm_CHN.25.9_1,8779423.292399999,8422497.497399999,356925.7949999999,0.959345188959168,20.394306257151943,178,1.0519981803303542,130,2025-07-31T00:00:00
IRN,gadm_IRN.10.7_1,7317082.133800002,7198113.915600002,118968.2182,0.9837410300958018,20.393248167612448,179,0.9650182974616988,24,2025-07-31T00:00:00
CHN,gadm_CHN.12.15_1,10053822.963600002,9464160.904600002,589662.0589999999,0.9413494686414432,20.393112873207063,180,1.057952035748037,121,2025-07-31T00:00:00
JPN,ghs-fua_266,11147054.2486,10338591.636,808462.6125999998,0.9274729812406234,20.38856780066736,181,1.0863126112133692,5,2025-07-31T00:00:00
CHN,gadm_CHN.18.3_1,8687057.584400002,8340695.390000002,346362.19440000004,0.9601289399736468,20.388328236367546,182,1.0512162487751295,131,2025-07-31T00:00:00
USA,ghs-fua_6654,79124469.2878,55509369.4174,23615099.8704,0.701544919252417,20.385774707777344,183,1.054389679440633,4,2025-07-31T00:00:00
CHN,gadm_CHN.12.13_1,12070810.442600004,11066679.830000004,1004130.6126,0.9168133227362888,20.384310874376695,184,1.065447922240138,104,2025-07-31T00:00:00
CHN,gadm_CHN.25.6_1,10915144.2584,10143358.7056,771785.5528000003,0.9292922260550012,20.379840647742267,185,1.060860131780654,114,2025-07-31T00:00:00
CHN,gadm_CHN.7.5_1,8584282.6516,8247521.793799999,336760.85780000006,0.9607700641430728,20.37928269188183,186,1.0502164579388402,137,2025-07-31T00:00:00
CHN,gadm_CHN.12.7_1,14380724.031400008,12858051.895200009,1522672.1362,0.894117143693511,20.37876054484838,187,1.0726063102989254,97,2025-07-31T00:00:00
CHN,gadm_CHN.14.10_1,9143033.677800002,8707149.967200002,435883.71059999993,0.9523261396643042,20.378569417481863,188,1.0529968287284064,129,2025-07-31T00:00:00
CHN,gadm_CHN.6.12_1,9236196.5926,8781551.142800001,454645.4498000001,0.950775685073198,20.376538431149104,189,1.0533426769193686,128,2025-07-31T00:00:00
CHN,gadm_CHN.17.7_1,8855139.7484,8455486.4348,399653.31360000005,0.9548676446724388,20.36228527159106,190,1.0507299967590635,134,2025-07-31T00:00:00
CHN,gadm_CHN.23.5_1,15664114.7664,13807386.5442,1856728.2222,0.8814661249684701,20.358705838674314,191,1.0751264211752336,89,2025-07-31T00:00:00
USA,ghs-fua_5511,50590030.18659999,37730752.76099999,12859277.4256,0.7458139997511586,20.35560092725402,192,1.037832883354211,7,2025-07-31T00:00:00
CHN,gadm_CHN.8.8_1,7591738.411000002,7399630.231800002,192108.1792,0.9746951002787916,20.354805876123105,193,1.0434079036545272,158,2025-07-31T00:00:00
CHN,gadm_CHN.13.1_1,8187304.456,7896494.8704,290809.58559999993,0.9644804236653391,20.35428161406205,194,1.0468006845467321,149,2025-07-31T00:00:00
CHN,gadm_CHN.22.1_1,7234619.663,7096404.2974,138215.36560000002,0.980895282400694,20.351656632600474,195,1.0410479973500713,162,2025-07-31T00:00:00
CHN,ghs-fua_8989,16167833.4376,14175034.6808,1992798.7567999992,0.876742993148016,20.350563193837523,196,1.0760104732216749,88,2025-07-31T00:00:00
CHN,gadm_CHN.14.14_1,8944044.279400002,8514782.360200003,429261.9192,0.9520058369804052,20.347516997889613,197,1.0504132812609028,136,2025-07-31T00:00:00
CHN,ghs-fua_10078,15411714.900600003,13591952.435600003,1819762.4650000003,0.8819234279418734,20.343284516903275,198,1.0736359055808984,94,2025-07-31T00:00:00
IRN,ghs-fua_417,6846770.6389999995,6761065.213199999,85705.42579999997,0.9874823576954934,20.34286288231178,199,0.9593525823911286,29,2025-07-31T00:00:00
OMN,gadm_OMN.11.1_1,14140871.617399998,12620649.322199998,1520222.2951999994,0.8924944419034677,20.341933595511552,200,1.231384182329065,2,2025-07-31T00:00:00
CHN,gadm_CHN.15.4_1,19345924.9188,16518903.996800002,2827020.9219999993,0.85386995277477,20.340328837177978,201,1.0828224203987098,74,2025-07-31T00:00:00
NGA,ghs-fua_6116,6485997.334200001,6446024.478400001,39972.8558,0.9938370533103326,20.332703132434098,202,1.164905418106653,2,2025-07-31T00:00:00
CHN,gadm_CHN.18.9_1,8287407.764999999,7960563.6329999985,326844.13200000004,0.9605613550982308,20.332361841882207,203,1.0462200076820705,151,2025-07-31T00:00:00
CHN,gadm_CHN.15.2_1,12549416.3148,11365496.9106,1183919.4042,0.9056594048279552,20.32353155441214,204,1.0639344511969375,106,2025-07-31T00:00:00
CHN,gadm_CHN.23.8_1,13357146.093400003,11991354.625800004,1365791.4676,0.8977482571464228,20.323209714815828,205,1.0665694176831615,103,2025-07-31T00:00:00
MNG,ghs-fua_117,7553176.394200001,7336965.627600001,216210.7666000001,0.9713748553832232,20.316712469513902,206,1.262738194319685,2,2025-07-31T00:00:00
CHN,gadm_CHN.15.5_1,15760191.656600004,13800148.332400003,1960043.3242,0.8756332811867056,20.308219607389265,207,1.0727140152998353,96,2025-07-31T00:00:00
PAK,gadm_PAK.7.8_1,6279203.407399999,6252007.437599999,27195.969800000013,0.9956688821757312,20.30790364410615,208,1.1343033428009859,12,2025-07-31T00:00:00
IRN,gadm_IRN.29.3_1,6391154.033600001,6345519.0004,45635.03320000002,0.9928596568068796,20.30441790647049,209,0.9541152920802282,32,2025-07-31T00:00:00
CHN,gadm_CHN.8.5_1,8351263.752599997,7987870.380999997,363393.3716000002,0.956486421412943,20.303190965138686,210,1.0450633302184698,155,2025-07-31T00:00:00
IRQ,ghs-fua_2709,8486513.187999997,8098121.443799998,388391.7442,0.9542342378317176,20.30209768718451,211,1.2725405426990304,1,2025-07-31T00:00:00
IRN,ghs-fua_3000,7431467.219199999,7218047.991199999,213419.22800000003,0.9712816834542972,20.294988681518838,212,0.9611290311510619,27,2025-07-31T00:00:00
CHN,gadm_CHN.7.1_1,8427055.877799999,8042818.967599999,384236.91019999987,0.9544043713757466,20.294778638726967,213,1.0450350309435064,156,2025-07-31T00:00:00
CHN,gadm_CHN.13.16_1,10630403.278599998,9820352.392399998,810050.8861999998,0.923798668312922,20.293270148592885,214,1.0552060456150296,125,2025-07-31T00:00:00
CHN,gadm_CHN.18.1_1,9430264.150600003,8857979.436000003,572284.7146000003,0.9393140313504804,20.29251579052253,215,1.0499182548415016,138,2025-07-31T00:00:00
CHN,gadm_CHN.10.5_1,11242819.889,10301367.2264,941452.6626,0.916261874521256,20.29010728598231,216,1.0574687703196959,122,2025-07-31T00:00:00
DZA,ghs-fua_3145,15387460.1134,13485948.6322,1901511.4812000005,0.8764246037236457,20.28674832934775,217,1.2258547622341873,1,2025-07-31T00:00:00
IND,gadm_IND.25.1_1,15237062.952,13367004.65,1870058.302,0.8772691096774304,20.2830883702824,218,1.1838778533556735,4,2025-07-31T00:00:00
CHN,gadm_CHN.5.12_1,8978691.381,8482480.5362,496210.84479999985,0.9447346140162428,20.2825828648659,219,1.0472328066402345,147,2025-07-31T00:00:00
CHN,gadm_CHN.25.2_1,9422582.484799998,8840955.532199997,581626.9526,0.9382730845245186,20.281456380901858,220,1.0493100976738547,140,2025-07-31T00:00:00
CHN,gadm_CHN.13.13_1,11222994.299999995,10272234.073199997,950760.2268000004,0.915284620005554,20.278382976748333,221,1.0567815467209563,123,2025-07-31T00:00:00
IND,gadm_IND.36.13_1,6304291.5962000005,6253610.729400001,50680.8668,0.9919608942532816,20.278244001468238,222,1.18359509853807,5,2025-07-31T00:00:00
CHN,gadm_CHN.11.1_1,8780398.196400002,8316796.503400001,463601.693,0.9472003794554468,20.277944933108653,223,1.0460008632655882,153,2025-07-31T00:00:00
USA,gadm_USA.33.42_1,18868455.389,16046601.8222,2821853.5668,0.850445968754544,20.275615344344892,224,0.997998514643426,20,2025-07-31T00:00:00
CHN,gadm_CHN.5.9_1,6957854.704000004,6805694.575400003,152160.12860000003,0.9781311718808204,20.27526542205079,225,1.0353574444245015,172,2025-07-31T00:00:00
CHN,gadm_CHN.15.3_1,10935986.1252,10038809.51,897176.6151999999,0.9179610686289534,20.272049315967365,226,1.055331716831423,124,2025-07-31T00:00:00
PAK,gadm_PAK.5.6_1,6055261.772800001,6034976.528600002,20285.244199999997,0.9966499806348388,20.26998060869167,227,1.1289609596805115,13,2025-07-31T00:00:00
CHN,gadm_CHN.26.12_1,9061126.685599998,8535758.142999997,525368.5426,0.942019512492313,20.268064184785413,228,1.046888343085886,148,2025-07-31T00:00:00
USA,gadm_USA.3.8_1,31895065.749399997,25138048.982800003,6757016.766599996,0.7881485236716559,20.265133438025256,229,1.0170126725718736,11,2025-07-31T00:00:00
CHN,gadm_CHN.4.9_1,9313022.6466,8734084.0512,578938.5954000001,0.937835585999422,20.26247309176956,230,1.0478120476135704,145,2025-07-31T00:00:00
UZB,ghs-fua_3428,6183057.858799999,6139412.454599999,43645.4042,0.9929411295839838,20.262291663482333,231,1.187846777268688,2,2025-07-31T00:00:00
KOR,ghs-fua_3057,18557289.8366,15789438.603200002,2767851.233400001,0.850848305018061,20.259530230919168,232,0.9328623405786813,2,2025-07-31T00:00:00
IRN,ghs-fua_4845,7155670.951199999,6959035.284799999,196635.6664,0.9725203034431,20.258206556692006,233,0.9575339142427701,30,2025-07-31T00:00:00
CHN,gadm_CHN.15.7_1,27108313.90300001,21844463.68100001,5263850.222,0.8058215556734621,20.255897034344606,234,1.091677487758709,56,2025-07-31T00:00:00
IND,ghs-fua_9850,8309204.3951999955,7911930.513999995,397273.8812000002,0.9521886979420684,20.255674018105204,235,1.1822777398121054,6,2025-07-31T00:00:00
PAK,gadm_PAK.8.2_1,12380920.277599994,11145703.089999994,1235217.1876000008,0.9002321992303917,20.253542696771984,236,1.1888561756030418,6,2025-07-31T00:00:00
PAK,gadm_PAK.7.7_1,6987482.794400002,6814580.116000002,172902.67840000003,0.9752553697107392,20.253540653679785,237,1.1406618695538198,11,2025-07-31T00:00:00
IRN,gadm_IRN.18.6_1,8356347.372999999,7944073.148999998,412274.2240000001,0.9506633454070984,20.248279408264807,238,0.9646061721944057,25,2025-07-31T00:00:00
IRN,gadm_IRN.5.12_1,8885058.463399999,8374081.705599998,510976.75780000014,0.942490332516679,20.24775749952017,239,0.9675235907770816,22,2025-07-31T00:00:00
KAZ,ghs-fua_1510,11700193.109000005,10608463.637800002,1091729.4712,0.9066913288499296,20.246485119674023,240,1.147167363215546,6,2025-07-31T00:00:00
CHN,gadm_CHN.22.10_1,10238206.2496,9457638.410999998,780567.8385999999,0.9237593168597774,20.2457385524588,241,1.0510996559779116,132,2025-07-31T00:00:00
IRN,gadm_IRN.8.8_1,7854918.235800002,7527619.754400002,327298.4814,0.9583320320371652,20.24271705222722,242,0.9613511042702662,26,2025-07-31T00:00:00
PAK,ghs-fua_2034,12283900.565200005,11056528.414200002,1227372.1509999998,0.9000828650081134,20.242323785698574,243,1.1875580976171578,7,2025-07-31T00:00:00
IRN,gadm_IRN.13.6_1,6575447.881599999,6458433.248999999,117014.63259999998,0.9822043099258012,20.24088626823678,244,0.9525427215508585,33,2025-07-31T00:00:00
IRN,gadm_IRN.23.1_1,9633249.7286,8969462.5456,663787.183,0.9310941580773836,20.240116879399277,245,0.9710002364739421,21,2025-07-31T00:00:00
CHN,gadm_CHN.6.2_1,13679908.717000004,12121672.169000003,1558236.548,0.886093059519938,20.23787757399866,246,1.0630966453546344,112,2025-07-31T00:00:00
CHN,ghs-fua_10331,10323941.638599996,9510958.787399998,812982.8511999999,0.9212526688294757,20.231908650304206,247,1.0507447252300623,133,2025-07-31T00:00:00
CHN,ghs-fua_7094,13678655.626599995,12110380.404599996,1568275.222,0.885348731278074,20.230426558702945,248,1.062701392535161,113,2025-07-31T00:00:00
CHN,gadm_CHN.30.11_1,6122533.596800002,6063130.437400002,59403.15939999997,0.9902976180594504,20.22475842717431,249,1.0268847496043452,183,2025-07-31T00:00:00
